,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
225,22017,1610612756,PHX,Phoenix Suns,0021700026,2017-10-20,PHX vs. LAL,L,239,130,45,92,0.489,14,29,0.483,26,38,0.684,10,40,50,17,8,9,19,25,-2.0
226,22017,1610612756,PHX,Phoenix Suns,0021700012,2017-10-18,PHX vs. POR,L,241,76,28,89,0.315,7,27,0.259,13,18,0.722,10,23,33,10,9,8,16,22,-48.0
227,12017,1610612756,PHX,Phoenix Suns,0011700073,2017-10-13,PHX vs. BNE,W,240,114,40,88,0.455,12,30,0.4,22,26,0.846,8,40,48,23,6,10,13,15,21.0
228,12017,1610612756,PHX,Phoenix Suns,0011700061,2017-10-11,PHX vs. POR,L,241,104,34,90,0.378,11,35,0.314,25,33,0.758,9,40,49,17,9,6,11,23,-9.0
229,12017,1610612756,PHX,Phoenix Suns,0011700047,2017-10-09,PHX vs. UTA,L,240,102,31,68,0.456,10,27,0.37,30,41,0.732,8,30,38,18,11,3,32,19,-16.0
230,12017,1610612756,PHX,Phoenix Suns,0011700034,2017-10-06,PHX @ UTA,L,240,101,32,74,0.432,13,27,0.481,24,29,0.828,4,35,39,19,6,9,20,24,-11.0
231,12017,1610612756,PHX,Phoenix Suns,0011700014,2017-10-03,PHX @ POR,W,239,114,37,82,0.451,10,28,0.357,30,39,0.769,8,43,51,19,9,8,19,23,2.0
232,22017,1610612756,PHX,Phoenix Suns,1521700059,2017-07-14,PHX vs. SAC,L,200,87,28,71,0.394,8,35,0.229,23,31,0.742,11,26,37,12,9,8,13,22,-6.0
233,22017,1610612756,PHX,Phoenix Suns,1521700049,2017-07-13,PHX @ MEM,L,199,98,38,71,0.535,6,20,0.3,16,22,0.727,7,22,29,13,11,3,14,19,-4.0
234,22017,1610612756,PHX,Phoenix Suns,1521700041,2017-07-12,PHX vs. UTA,W,201,97,36,69,0.522,9,22,0.409,16,23,0.696,5,32,37,16,5,11,13,16,16.0
235,22017,1610612756,PHX,Phoenix Suns,1521700026,2017-07-10,PHX vs. HOU,L,200,94,29,72,0.403,9,25,0.36,27,38,0.711,13,24,37,15,8,3,21,33,-5.0
236,22017,1610612756,PHX,Phoenix Suns,1521700016,2017-07-09,PHX @ DAL,L,200,77,26,73,0.356,7,30,0.233,18,26,0.692,12,34,46,11,10,2,25,30,-11.0
237,22017,1610612756,PHX,Phoenix Suns,1521700006,2017-07-07,PHX @ SAC,W,201,89,30,76,0.395,6,21,0.286,23,30,0.767,12,29,41,12,8,4,17,27,4.0
238,22016,1610612756,PHX,Phoenix Suns,0021601216,2017-04-11,PHX @ SAC,L,240,104,41,109,0.376,8,30,0.267,14,24,0.583,18,30,48,19,8,3,9,23,-25.0
239,22016,1610612756,PHX,Phoenix Suns,0021601199,2017-04-09,PHX vs. DAL,W,240,124,44,80,0.55,8,19,0.421,28,32,0.875,8,35,43,26,6,4,12,18,13.0
240,22016,1610612756,PHX,Phoenix Suns,0021601186,2017-04-07,PHX vs. OKC,W,239,120,43,83,0.518,8,18,0.444,26,31,0.839,12,33,45,16,6,6,7,26,21.0
241,22016,1610612756,PHX,Phoenix Suns,0021601171,2017-04-05,PHX vs. GSW,L,240,111,43,103,0.417,7,27,0.259,18,26,0.692,20,35,55,26,13,2,16,22,-9.0
242,22016,1610612756,PHX,Phoenix Suns,0021601153,2017-04-02,PHX vs. HOU,L,240,116,42,100,0.42,8,34,0.235,24,29,0.828,22,39,61,24,8,11,23,24,-7.0
243,22016,1610612756,PHX,Phoenix Suns,0021601141,2017-04-01,PHX @ POR,L,240,117,44,84,0.524,3,10,0.3,26,32,0.813,13,30,43,17,8,6,17,26,-13.0
244,22016,1610612756,PHX,Phoenix Suns,0021601124,2017-03-30,PHX vs. LAC,L,240,118,49,92,0.533,7,23,0.304,13,24,0.542,13,30,43,24,6,2,14,27,-6.0
245,22016,1610612756,PHX,Phoenix Suns,0021601106,2017-03-28,PHX @ ATL,L,240,91,35,96,0.365,7,31,0.226,14,24,0.583,14,34,48,25,12,6,15,31,-4.0
246,22016,1610612756,PHX,Phoenix Suns,0021601087,2017-03-26,PHX @ CHA,L,239,106,41,81,0.506,6,16,0.375,18,22,0.818,8,31,39,25,6,3,12,17,-14.0
247,22016,1610612756,PHX,Phoenix Suns,0021601076,2017-03-24,PHX @ BOS,L,240,120,39,86,0.453,6,19,0.316,36,49,0.735,10,39,49,23,9,3,13,30,-10.0
248,22016,1610612756,PHX,Phoenix Suns,0021601067,2017-03-23,PHX @ BKN,L,240,98,34,93,0.366,7,25,0.28,23,34,0.676,15,35,50,16,14,3,19,30,-28.0
249,22016,1610612756,PHX,Phoenix Suns,0021601053,2017-03-21,PHX @ MIA,L,240,97,36,82,0.439,4,16,0.25,21,29,0.724,10,31,41,14,5,5,24,23,-15.0
250,22016,1610612756,PHX,Phoenix Suns,0021601038,2017-03-19,PHX @ DET,L,238,95,35,99,0.354,6,22,0.273,19,30,0.633,11,36,47,16,10,4,4,21,-17.0
251,22016,1610612756,PHX,Phoenix Suns,0021601026,2017-03-17,PHX vs. ORL,L,240,103,38,87,0.437,2,14,0.143,25,30,0.833,12,37,49,18,9,8,16,22,-6.0
252,22016,1610612756,PHX,Phoenix Suns,0021601012,2017-03-15,PHX vs. SAC,L,240,101,43,107,0.402,6,25,0.24,9,14,0.643,16,31,47,24,9,11,13,25,-6.0
