,GAME_ID,MATCHUP,HOME_TEAM,VISITOR_TEAM
18689,0029301060,DEN vs. LAL,1610612743,1610612747
18690,0029301054,DEN @ MIN,1610612750,1610612743
18691,0029301022,DEN @ SAN,1610612759,1610612743
18692,0029301018,DEN vs. PHX,1610612743,1610612756
18693,0029301002,DEN vs. HOU,1610612743,1610612745
18694,0029300987,DEN @ LAL,1610612747,1610612743
18695,0029300984,DEN vs. SEA,1610612743,1610612760
18696,0029300968,DEN vs. LAC,1610612743,1610612746
18697,0029300959,DEN @ PHX,1610612756,1610612743
18698,0029300950,DEN @ UTH,1610612762,1610612743
18699,0029300918,DEN @ SEA,1610612760,1610612743
18700,0029300892,DEN vs. MIA,1610612743,1610612748
18701,0029300880,DEN vs. MIL,1610612743,1610612749
18702,0029300865,DEN vs. WAS,1610612743,1610612764
18703,0029300853,DEN vs. SAC,1610612743,1610612758
18704,0029300845,DEN @ LAC,1610612746,1610612743
18705,0029300821,DEN vs. SAN,1610612743,1610612759
18706,0029300806,DEN @ WAS,1610612764,1610612743
18707,0029300792,DEN @ MIA,1610612748,1610612743
18708,0029300784,DEN @ ORL,1610612753,1610612743
18709,0029300768,DEN vs. MIN,1610612743,1610612750
18710,0029300758,DEN vs. ORL,1610612743,1610612753
18711,0029300730,DEN @ POR,1610612757,1610612743
18712,0029300715,DEN vs. NYK,1610612743,1610612752
18713,0029300692,DEN @ HOU,1610612745,1610612743
18714,0029300647,DEN @ MIL,1610612749,1610612743
18715,0029300628,DEN @ SAN,1610612759,1610612743
18716,0029300617,DEN vs. UTH,1610612743,1610612762
18717,0029300583,DEN @ SAC,1610612758,1610612743
18718,0029300570,DEN @ GOS,1610612744,1610612743
18719,0029300547,DEN vs. DET,1610612743,1610612765
18720,0029300534,DEN vs. IND,1610612743,1610612754
18721,0029300502,DEN vs. SEA,1610612743,1610612760
18722,0029300489,DEN vs. HOU,1610612743,1610612745
18723,0029300473,DEN vs. POR,1610612743,1610612757
18724,0029300448,DEN @ NJN,1610612751,1610612743
18725,0029300433,DEN @ IND,1610612754,1610612743
18726,0029300424,DEN @ DET,1610612765,1610612743
18727,0029300409,DEN vs. SAC,1610612743,1610612758
18728,0029300402,DEN vs. SAN,1610612743,1610612759
18729,0029300390,DEN @ MIN,1610612750,1610612743
18730,0029300379,DEN vs. LAL,1610612743,1610612747
18731,0029300369,DEN vs. PHL,1610612743,1610612755
18732,0029300365,DEN vs. GOS,1610612743,1610612744
18733,0029300333,DEN vs. MIN,1610612743,1610612750
18734,0029300326,DEN @ HOU,1610612745,1610612743
18735,0029300306,DEN vs. PHX,1610612743,1610612756
18736,0029300278,DEN @ CHH,1610612766,1610612743
18737,0029300269,DEN @ PHL,1610612755,1610612743
18738,0029300258,DEN @ NYK,1610612752,1610612743
18739,0029300242,DEN @ SAN,1610612759,1610612743
18740,0029300232,DEN vs. UTH,1610612743,1610612762
18741,0029300210,DEN @ GOS,1610612744,1610612743
18742,0029300192,DEN vs. CHH,1610612743,1610612766
18743,0029300168,DEN @ UTH,1610612762,1610612743
18744,0029300154,DEN vs. NJN,1610612743,1610612751
18745,0029300146,DEN vs. POR,1610612743,1610612757
18746,0029300133,DEN @ PHX,1610612756,1610612743
18747,0029300123,DEN @ POR,1610612757,1610612743
18748,0029300115,DEN @ MIN,1610612750,1610612743
18749,0029300076,DEN vs. SAN,1610612743,1610612759
18750,0029300062,DEN vs. GOS,1610612743,1610612744
18751,0029300055,DEN @ LAL,1610612747,1610612743
18752,0029300037,DEN @ SEA,1610612760,1610612743
18753,0029300026,DEN vs. LAC,1610612743,1610612746
18754,0029300010,DEN @ SAC,1610612758,1610612743
18755,0029201100,DEN vs. PHX,1610612743,1610612756
18756,0029201079,DEN @ SAN,1610612759,1610612743
18757,0029201052,DEN vs. LAC,1610612743,1610612746
18758,0029201022,DEN vs. HOU,1610612743,1610612745
18759,0029201006,DEN @ GOS,1610612744,1610612743
18760,0029200996,DEN @ LAC,1610612746,1610612743
18761,0029200987,DEN @ PHX,1610612756,1610612743
18762,0029200968,DEN @ SAC,1610612758,1610612743
18763,0029200956,DEN vs. MIN,1610612743,1610612750
18764,0029200948,DEN vs. MIL,1610612743,1610612749
18765,0029200916,DEN @ UTH,1610612762,1610612743
18766,0029200905,DEN vs. IND,1610612743,1610612754
18767,0029200887,DEN vs. GOS,1610612743,1610612744
18768,0029200875,DEN @ PHL,1610612755,1610612743
18769,0029200867,DEN vs. UTH,1610612743,1610612762
18770,0029200855,DEN vs. ORL,1610612743,1610612753
18771,0029200827,DEN @ MIN,1610612750,1610612743
18772,0029200819,DEN vs. MIA,1610612743,1610612748
18773,0029200792,DEN @ DET,1610612765,1610612743
18774,0029200786,DEN @ WAS,1610612764,1610612743
18775,0029200763,DEN @ NJN,1610612751,1610612743
18776,0029200744,DEN vs. POR,1610612743,1610612757
18777,0029200729,DEN vs. LAL,1610612743,1610612747
18778,0029200724,DEN vs. CHH,1610612743,1610612766
18779,0029200713,DEN @ HOU,1610612745,1610612743
18780,0029200684,DEN vs. SEA,1610612743,1610612760
18781,0029200665,DEN @ ORL,1610612753,1610612743
18782,0029200648,DEN @ MIA,1610612748,1610612743
18783,0029200634,DEN vs. WAS,1610612743,1610612764
18784,0029200629,DEN vs. PHL,1610612743,1610612755
18785,0029200613,DEN @ LAL,1610612747,1610612743
18786,0029200609,DEN @ SEA,1610612760,1610612743
18787,0029200588,DEN vs. SAC,1610612743,1610612758
18788,0029200570,DEN @ UTH,1610612762,1610612743
18789,0029200533,DEN vs. NJN,1610612743,1610612751
18790,0029200522,DEN @ GOS,1610612744,1610612743
18791,0029200511,DEN vs. MIN,1610612743,1610612750
18792,0029200471,DEN @ SAN,1610612759,1610612743
18793,0029200450,DEN @ MIN,1610612750,1610612743
18794,0029200434,DEN vs. NYK,1610612743,1610612752
18795,0029200427,DEN @ POR,1610612757,1610612743
18796,0029200406,DEN vs. SEA,1610612743,1610612760
18797,0029200402,DEN vs. HOU,1610612743,1610612745
18798,0029200382,DEN @ SAC,1610612758,1610612743
18799,0029200366,DEN @ SEA,1610612760,1610612743
18800,0029200347,DEN vs. SAN,1610612743,1610612759
18801,0029200332,DEN @ PHX,1610612756,1610612743
18802,0029200328,DEN @ HOU,1610612745,1610612743
18803,0029200313,DEN vs. PHX,1610612743,1610612756
18804,0029200306,DEN @ SAN,1610612759,1610612743
18805,0029200286,DEN vs. LAL,1610612743,1610612747
18806,0029200266,DEN vs. POR,1610612743,1610612757
18807,0029200251,DEN @ NYK,1610612752,1610612743
18808,0029200238,DEN @ CHH,1610612766,1610612743
18809,0029200201,DEN @ UTH,1610612762,1610612743
18810,0029200184,DEN vs. GOS,1610612743,1610612744
18811,0029200170,DEN vs. HOU,1610612743,1610612745
18812,0029200152,DEN vs. LAC,1610612743,1610612746
18813,0029200142,DEN @ LAC,1610612746,1610612743
18814,0029200134,DEN vs. SAC,1610612743,1610612758
18815,0029200113,DEN @ LAL,1610612747,1610612743
18816,0029200106,DEN vs. MIN,1610612743,1610612750
18817,0029200093,DEN vs. DET,1610612743,1610612765
18818,0029200082,DEN @ IND,1610612754,1610612743
18819,0029200070,DEN @ MIL,1610612749,1610612743
18820,0029200035,DEN vs. UTH,1610612743,1610612762
18821,0029200023,DEN @ POR,1610612757,1610612743
18822,0029200018,DEN vs. SAN,1610612743,1610612759
18823,0029101088,DEN @ SAN,1610612759,1610612743
18824,0029101076,DEN vs. LAL,1610612743,1610612747
18825,0029101061,DEN @ LAL,1610612747,1610612743
18826,0029101051,DEN @ LAC,1610612746,1610612743
18827,0029101034,DEN @ SAC,1610612758,1610612743
18828,0029101018,DEN vs. UTH,1610612743,1610612762
18829,0029101007,DEN vs. SAN,1610612743,1610612759
18830,0029100988,DEN @ HOU,1610612745,1610612743
18831,0029100974,DEN vs. MIN,1610612743,1610612750
18832,0029100954,DEN vs. PHX,1610612743,1610612756
